row,item,quantity,price,photo,photo_2,photo_3,notes
2,Vegas Stool,160,375.0,images/vegas-stool.png,,,variety of colors
3,Saddle barstool,100,350.0,images/saddle-barstool.png,,,3 types of brown mix
4,Vegas Barstool,72,500.0,images/vegas-barstool.png,,,
5,Saddle barstool Ivory floral,64,350.0,images/saddle-barstool-ivory-floral.png,,,
6,Saddle barstool Dark Croc,58,350.0,images/saddle-barstool-dark-croc.png,,,
7,Smith barstool,56,200.0,images/smith-barstool.png,,,
8,Trophy barstool White croc,47,550.0,images/trophy-barstool-white-croc.png,,,
9,Brooke dining chairs brown with hide back,45,500.0,images/brooke-dining-chairs-brown-with-hide-back.png,images/brooke-dining-chairs-brown-with-hide-back-2.png,,
10,Kennedy barstool Dark brown diamond leather hide back,43,600.0,images/kennedy-barstool-dark-brown-diamond-leather-hide-back.png,,,
11,Marlo barstool Cowhide,37,450.0,images/marlo-barstool-cowhide.png,,,
12,Saddle barstool Cowhide,35,350.0,images/saddle-barstool-cowhide.png,,,
13,Saddle barstool Diamond,35,350.0,images/saddle-barstool-diamond.png,,,
14,Brooke dining chairs black with hide back,35,500.0,images/brooke-dining-chairs-black-with-hide-back.png,,,
15,Saddle barstool Valentina Tawny Light gold,34,350.0,images/saddle-barstool-valentina-tawny-light-gold.png,,,
16,Saddle barstool Red Floral,34,350.0,images/saddle-barstool-red-floral.png,,,
17,Serena dining chair Black leather,33,500.0,images/serena-dining-chair-black-leather.png,,,
18,Lynn dining chair dark croc,33,600.0,images/lynn-dining-chair-dark-croc.png,,,
19,Saddle barstool Turquoise Croc,31,350.0,images/saddle-barstool-turquoise-croc.png,,,
20,Kennedy barstool Brown croc front Hide back,30,600.0,images/kennedy-barstool-brown-croc-front-hide-back.png,,,
21,Saddle barstool Copper Cowboy Rose flower,27,350.0,images/saddle-barstool-copper-cowboy-rose-flower.png,,,
22,"Stanley Accent chair, brown diamond with Hide back",27,1500.0,images/stanley-accent-chair-brown-diamond-with-hide-back.png,,,
23,Trophy barstool Dark croc,25,550.0,images/trophy-barstool-dark-croc.png,,,
24,Waller accent chair Brown Tufted Hide back,24,1500.0,images/waller-accent-chair-brown-tufted-hide-back.png,,,
25,"Scott Barstool black 25""",24,400.0,,,,
26,"Scott Barstool brown 25""",24,400.0,images/scott-barstool-brown-25.png,,,
27,"Scott Barstool camel 25""",24,400.0,,,,
28,Smith barstool tufted white croc,23,200.0,images/smith-barstool-tufted-white-croc.png,,,
29,Saddle barstool Turquoise Leaf,22,350.0,images/saddle-barstool-turquoise-leaf.png,,,
30,Trophy barstool tufted blue,21,550.0,images/trophy-barstool-tufted-blue.png,,,
31,Dakota dining chair Brown front hide back,21,500.0,images/dakota-dining-chair-brown-front-hide-back.png,,,
32,Saddle barstool Valentina Toffee Dark,20,350.0,images/saddle-barstool-valentina-toffee-dark.png,,,
33,Saddle bastool white croc,20,350.0,images/saddle-bastool-white-croc.png,,,
34,Dakota dining chair Black front hide back,19,500.0,images/dakota-dining-chair-black-front-hide-back.png,,,
35,Trophy barstool White Croc Striated leather,18,550.0,images/trophy-barstool-white-croc-striated-leather.png,,,
36,Brooke dining chair White leather with Salt Pepper Hide back,18,500.0,images/brooke-dining-chair-white-leather-with-salt-pepper-hide-back.png,,,
37,Bethany  barstool No arms Brown croc,18,550.0,images/bethany-barstool-no-arms-brown-croc.png,,,
38,Saddle barstool Turquoise Floral,18,350.0,images/saddle-barstool-turquoise-floral.png,,,
39,Smith barstool tufted brown croc,16,200.0,images/smith-barstool-tufted-brown-croc.png,,,
40,Saddle barstool Loredo Brown,15,350.0,images/saddle-barstool-loredo-brown.png,,,
41,Kennedy barstool Turquoise croc spine with hide back,14,600.0,images/kennedy-barstool-turquoise-croc-spine-with-hide-back.png,,,
42,Kennedy barstool Valentina Dark toffee,14,600.0,images/kennedy-barstool-valentina-dark-toffee.png,,,
43,Saddle barstool Black croc,14,350.0,images/saddle-barstool-black-croc.png,,,
44,Brooke dining chair White leather with tri color hide back with nail head,14,500.0,images/brooke-dining-chair-white-leather-with-tri-color-hide-back-with-nail-head.png,,,
45,Arc accent chair brown Oliva cowhide back,12,1500.0,images/arc-accent-chair-brown-oliva-cowhide-back.png,,,
46,Grace dining chair Brown croc,11,550.0,images/grace-dining-chair-brown-croc.png,,,
47,Wilson barstool tufted brown,11,500.0,images/wilson-barstool-tufted-brown.png,,,
48,Saddle barstool Blue,11,350.0,images/saddle-barstool-blue.png,,,
